"GEMS TARIFF FOR ALL OTHER  PATHOLOGISTS
WITH EFFECT FROM 2026-01-01",,052-Pathology
3927,Bacteriology: Grouping for streptococci,R151.50
3928,Antimicrobic substances,R78.80
3929,Radiometric mycobacterium identification,R290.20
3930,Radiometric mycobacterium antibiotic sensitivity,R518.10
3931,Helicobater: Monoclonal immunological ,R257.10
3932,Serology: Antibodies -human immunodeficiency virus(HIV),R291.90
3933,Serology: IgE:total EMIT/ELISA,R242.40
3934,Auto antibodies by labelled antibodies,R331.60
3935,Serology: Sperm antibodies,R331.60
3936,Serology: Virus neutralisation test; first antibody,"R1,554.40"
3937,Virus neutralisation test: Each additional antibody,R310.90
3938,Serology: Precipitation test per antigen,R93.40
3939,Serology: Agglutination test per antigen,R114.10
3940,Serology: Haemagglutination test per antigen,R205.20
3941,Serology: Modified Coombs' test for brucellosis,R93.40
3942,Hepatitus Viral Ab Rapid,R257.30
3943,Serology: Antibody titer -bacterial exotoxin,R74.90
3944,Serology: IgE: specific antibody titer,R257.10
3945,Serology: Complement fixation test,R121.10
3946,Serology: IgM: specific antibody titer,R291.30
3947,Serology: C-reactive protein,R224.60
3948,Serology: IgG: specific antibody titer,R268.50
3949,Serology: Qualitative Kahn,R46.90
3950,Serology: Neutrophil phagocytosis,R522.50
3951,Serology: Quantitative Kahn VDRL,R74.90
3952,Serology: Neutrophil chemotaxis,"R1,407.90"
3953,Serology: Tube agglutination test,R86.20
3955,Serology: Paul Bunnell: presumptive,R46.90
3956,Infectious mononucleous latex slide test,R176.30
3957,Serology: Paul Bunnell: absorpion,R93.40
3958,Anti Gad & Anti la2 Ab,"R1,407.80"
3959,Serology: Rose Waaler agglutination test,R93.40
3960,Serology: Gonococcal antibodies,R196.80
3961,Serology: Slide agglutination test,R54.40
3962,Serology: Rebuck skin window,R112.00
3963,Serology: Serum complement level,R65.30
3965,Anti la2 Ab,R745.80
3966,Anti Gad Ab,R745.80
3967,Serology: Auto-antibody: sensitized erythrocytes,R93.40
3968,Herpes virus typing: Monoclonal immumological ,R428.70
3969,Serology: Western blot technique,"R1,533.50"
3970,Serology: Epstein-Barr virus antibody,R139.80
3971,Serology: Immuno-diffusion test,R65.30
3972,Serology: Respiratory syncytial virus,R725.70
3973,Serology: Immuno electrophoresis,R195.80
3974,Polymerase chain reaction,"R1,554.40"
3975,Serology: Indirect immunofluorescence test (bacterial),R248.80
3977,Serology: Counter immuno-electrophoresis,R139.80
3978,Serology: Lymphocyte transformation,"R1,071.10"
3979,PCR (SARS-COV-2),R531.00
3980,Bilharzia Ag,R300.70
3982,Histone Ab,R331.60
3984,Quantiferon TB Assay,R0.00
3986,Anti-R7V,R0.00
3991,Biochemical tests-Blood: Abnormal pigments-qualitative,R93.40
3993,Biochemical tests-Blood: Abnormal pigments-quantitative,R186.70
