"GEMS TARIFF FOR SERVICES BY CLINICAL TECHNOLOGISTS
WITH EFFECT FROM 2026-01-01",,075 - Clinical Technology
163,Semen wash for A I.,R547.80
165,"IVF, GIFT, PROST with semen and serum preparation including ovum and embryo handling and transfer","R6,664.10"
,"Cannot be used with items 161, 163, 167 and 169",R0.00
167,Ovum and embryo freezing.,"R2,373.40"
169,Semen freezing.,R547.80
,Miscellaneous,
171,Travelling per km in excess of 16km (in own car).,R12.10
173,Equipment hire (By arrangement with scheme).,
175,Medication / Material,
,"The amount charged in respect of medicines and scheduled substances shall not exceed the limits prescribed in the Regulations Relating to a Transparent Pricing System for Medicines and Scheduled Substances, dated 30 April 2004, made in terms of the Medicines and Related Substances Act, 1965 (Act No 101 of 1965).

In relation to all other materials, items are to be charged (exclusive of VAT) at net acquisition price plus -

* 26% of the net acquisition price where the net acquisition price of that material is less than one hundred rands; and

* a maximum of twenty six rands where the net acquisition price of that material is greater than or equal to one hundred rands.",
