"GEMS OPTOMETRY TARIFFS
WITH EFFECT FROM 2026-01-01",,070 - Network Optometrists,
Tariff Code,Tariff Description,2026 Tariff values,Flag
28683,Essentials Active 1.60 Acclimates (REG/SH),R632.50,
28684,Maxxee M-Focal 1.56 Photo Uncoated,"R1,437.50",
28686,Indoor HD 1.50,R613.30,
28687,Indoor HD 1.67,R948.80,
28688,Indoor HD 1.74,R479.20,
28689,Indoor HD 1.53 Trivex,R479.20,
28690,Indoor HD 1.60,"R1,523.80",
28691,Serengeti P2  CPG / Drivers / Sedona,"R1,523.80",
28692,Serengeti P1  555nm Blue / Drivers / 555NM Silver,"R1,437.50",
28693,Serengeti P3 555nm Blue / Drivers Gold / Sedona Polarised / 555NM / 555NM Silver,"R1,715.40",
28694,Uvex F Certified Trilogy Transition Multifocal,"R1,437.50",
28699,Uvex F Certified Polycarbonate Multifocal Clear,"R1,437.50",
28706,Uvex S Certified CR39 Multifocal Clear,"R1,445.20",
28707,Uvex F Certified Trilogy Multifocal Clear,"R1,071.40",
28720,Uvex F Certified Polycarbonate Transition Multifocal,R716.80,
28723,I-View 1.50 Acclimates (REG/SH),,
28724,IMAGE® (1.5) Transitions® Gen S Grey & Brown Hardcoated,,
28725,IMAGE® (1.59) NuPolar® Grey 3 ; Brown Hardcoated,R987.10,
28726,IMAGE® (1.59) Hardcated,,
28727,Kodak PowerUp 1.50 Clear,R467.70,
28728,Kodak PowerUp 1.60 Clear,"R1,341.70",
28729,OAK OTD+ Top 1.59 Clear Boost Fit Blue,"R3,258.30",
28732,Gradient Tint over 35%,,
28733,Gradient Tint under 35%,,
28740,SV 1.50 Acclimates Rx,R693.80,
28741,Kodak Precise PB 1.50 Acclimates (REG/SH),"R1,109.80",
28745,Kodak Easy 1.50 Acclimates,"R1,711.60",
28750,Flat Top 28 HRI 1.74 (MR-174) Hardcoated,R849.10,
28756,1.67 UV420 Excalibur High Index Spheric / Aspheric,R617.20,
28757,1.50 UV420 Eclipse,R517.50,
28758,Uvex F Certified Trivex PhotoSun Surfaced Single Vision,R496.40,
28760,1.50 UV420 RELAX - Reading,R780.10,
28763,1.67 UV420 RELAX - Reading,"R2,587.50",
28764,Uvex F Certified Trivex Flattop 70/28 PhotoSun,"R5,520.00",
28768,Flat Top 35 Trilogy® (1.53) Hardcaoted,"R2,288.50",
28771,Flat Top 7x28 Trifocal Trilogy® (1.53) Hardcoated,R367.00,
28772,1.50 UV420 Office 23,R231.90,
28773,1.67 UV420 Office 23,"R2,183.10",
28774,Uvex F Certified Trilogy Photosun Multifocal,"R1,142.30",
28775,LW Retina FF 1.50 Flat-Top 28D Clear Uncoated,R837.60,
28776,LW Retina FF 1.67 Bio-Plus Transitions Uncoated,,
28777,Ultimax CR39 Transition Single Vision Stock HMC,,
28778,Single Vision 1.56Blue Photo Uncoated,,
28779,LW Retina SV 1.50 Surfaced Lenticular / Bi-concave Clear Uncoated,R584.60,
28780,OAK OTD+ Top 1.50 Trans GEN S Boost Fit,R450.80,X
28785,OAK OTD+ Top 1.67 Trans GEN S Boost Fit,R680.80,X
28791,OAK OTD+ Top 1.74 Trans GEN S Boost Fit,,X
28792,OAK OTD+ Top 1.59 Trans GEN S Boost Fit,R460.00,X
28801,OAK OTD+ Top 1.60 Trans GEN S Boost Fit,R805.00,
