"GEMS OPTOMETRY TARIFFS
WITH EFFECT FROM 2026-01-01",,070 - Network Optometrists,
Tariff Code,Tariff Description,2026 Tariff values,Flag
86BB096,Sirus Plus 1.67 Stylis Transitions Xtractive NG,"R4,426.40",
86BB106,Anateo Plus DS 1.67 Stylis Transitions Xtractive NG,"R7,315.20",
86BB116,Intuitiv Plus 1.67 Stylis Transitions Xtractive NG,"R9,274.80",
86BB144,Sirus Plus 1.50 Orma Transitions Xtractive NG,"R2,526.60",
86BB154,Anateo Plus DS 1.50 Orma Transitions Xtractive NG,"R4,716.20",
86BB155,Sirus Plus 1.60 Ormix Transitions Xtractive NG,"R3,499.50",
86BB164,Intuitiv Plus 1.5 Orma Transitions Xtractive NG,"R5,677.60",
86BB165,Anateo Plus DS 1.60 Ormix Transitions Xtractive NG,"R5,843.20",
86BB175,Intuitiv Plus 1.6 Ormix Transitions Xtractive NG,"R7,220.90",
86CZ342,ZEISS Progressive SmartLife Individual 1.6 BlueGuard,"R6,708.00",
86ES00A,Varilux Comfort Max 1.50 Orma Transitions Xtractive Polar (Regular / Short),"R11,101.00",
86ES00B,Varilux Comfort Max 1.60 Ormix Transitions Xtractive Polar (Regular / Short),"R12,501.70",
86ES00C,Varilux Comfort Max 1.67 Stylis Transitions Xtractive Polar (Regular / Short),"R13,955.30",
86ES01A,Varilux Physio 3.0 1.50 Orma Transitions Xtractive Polar (Regular / Short),"R12,865.10",
86ES01B,Varilux Physio 3.0 1.60 Ormix Transitions Xtractive Polar (Regular / Short),"R14,585.50",
86ES01C,Varilux Physio 3.0 1.67 Stylis Transitions Xtractive Polar (Regular / Short),"R16,110.40",
86ES786,Varilux X Design 1.67 Stylis Transitions Xtractive NG (Regular / Short),"R13,647.70",X
86ESE95,Varilux Liberty 3.0 1.59 Airwear Transitions Xtractive NG (Regular / Short),"R5,270.50",
86ESF05,Varilux Comfort Max 1.59 Airwear Transitions Xtractive NG (Regular / Short),"R7,099.00",
86ESF15,Varilux Physio 3.0 1.59 Airwear Transitions Xtractive NG (Regular / Short),"R8,623.90",
86FE051,Falcon Entrada Max 1.5 Uncoated,R885.70,
86FE062,Falcon Entrada Max 1.6 Uncoated,"R1,608.90",
86FE105,Falcon Entrada Max 1.56 Photochromic Uncoated,"R1,910.20",
86FE115,Falcon Entrada Max 1.6 Photochromic Uncoated,"R4,123.30",
86HY311,Amplitude Plus UV 1.50 Uncoated (Mini & Long),R944.20,
86HY321,Daynamic UV 1.5 Uncoated,"R2,501.30",
86HY331,Balansis UV 1.50 Uncoated,"R3,005.00",
86HY371,Hoyalux iD MySelf UV 1.5 Uncoated,"R5,691.40",
86HY381,Sync UV 1.50 low add Uncoated,R0.00,
86HY532,Amplitude Plus Eyas 2.0 1.60 Uncoated (Mini & Long),"R2,156.30",
86HY542,Daynamic Eyas 2.0 1.60 Uncoated,"R3,646.70",
86HY552,Balansis Eyas 2.0 1.60 Uncoated,"R4,283.80",
86HY592,Hoyalux iD MySelf 1.60 Eyas 2.0 Uncoated,"R7,676.30",
86HY602,Sync Eyas 2.0 1.60 low add Uncoated,"R1,585.90",
86KF008,1.53 Incredible Wrap Polareyes MF uncoated,"R6,864.40",
86KF017,1.5 Incredible 2 MF Polareyes uncoated,"R3,198.20",
86KF027,1.5 Incredible Wrap Polareyes MF uncoated,"R5,134.80",
86KF046,1.67 Incredible 2 MF Climateyes Uncoated,"R6,179.00",
86KF051,1.5 Incredible MF UV420 Blue Blocker uncoated,"R1,650.30",
86KF061,1.5 Incredible 2 MF UV420 Blue Blocker uncoated,"R2,050.50",
86KF064,1.5 Incredible 2 MF Climateyes Uncoated,"R3,419.00",
86KF071,1.5 Incredible Wrap MF uncoated,"R3,278.70",
86KF074,1.5 Incredible Wrap Climateyes MF uncoated,"R6,234.20",
86KF122,1.53 Incredible MF UV420 Blue Blocker uncoated,"R2,816.40",
86KF132,1.53 Incredible 2 MF UV420 Blue Blocker uncoated,"R3,425.90",
86KF135,1.53 Incredible Wrap Climateyes MF uncoated,"R8,336.40",
86KF142,1.53 Incredible Wrap MF uncoated,"R4,684.00",
86KF152,1.6 Incredible MF UV420 Blue Blocker uncoated,"R3,021.10",
86KF162,1.6 Incredible 2 MF UV420 Blue Blocker uncoated,"R3,177.50",
86KL522,OAK OTD ADV+ Premium PRIZM Gaming 2.0 1.59 PAL,"R2,799.10",
86PN045,Pentax AllFocus 1.60 Sensity Original Uncoated,"R3,051.00",
86PN055,Pentax AllFocus Flex 1.60 Sensity Original Uncoated,"R4,014.70",
86PN064,Pentax AllFocus 1.50 Sensity Original Uncoated,"R1,986.10",
86PN065,Pentax AllFocus Professional 1.60 Sensity Original Uncoated,"R4,776.00",
86PN074,Pentax AllFocus Flex 1.50 Sensity Original Uncoated,"R2,535.80",
86PN075,Pentax AllFocus Expert 1.60 Sensity Original Uncoated,"R5,180.80",
86PN084,Pentax AllFocus Professional 1.50 Sensity Original Uncoated,"R3,708.80",
86PN094,Pentax AllFocus Expert 1.50 Sensity Original Uncoated,"R4,470.10",
86UT02A,Ultimax 1.49 Digital Freeform FB Ultra Transition Xtractive Polarised,"R7,370.40",
87AR00C,UV 400,R293.50,
87AR00F,Ultra HMC Coat,R966.50,
87AR00R,Mirror Coat,"R1,421.90",
87HY03D,Maxxee HMC+,R995.90,
87HY04D,ARC,"R1,294.90",
87KF00R,Mirror Coating,"R2,003.30",
87KF04D,Back Surface AR,"R1,285.70",
87PN00D,Pentax INC,"R1,173.00",
87PN01D,Pentax INC 2.0,"R1,511.10",
87PN02D,Pentax INC Blue,"R1,338.60",
87PN03D,Pentax INC 2.0 Blue,"R1,681.30",
87SZ04D,ARC,"R1,216.70",
87SZ05D,ARC Premium,"R1,474.30",
87SZ06D,ARC Blue,"R1,573.20",
87VS07F,Crizal Rock (IMPORT),"R1,472.00",
87VS08F,Crizal Sapphire HR (IMPORT),"R1,805.50",
88KF00C,Gradient Tint over 35%,R331.20,
88KF00Q,Fixed Tint,R292.10,
88KF01C,UV400,R517.50,
88KF02C,Gradient Tint under 35%,R522.10,
89KF01Y,Franklin Trifocal,"R3,332.70",
89KF02Y,Profile edging,R802.70,
89KF03Y,Goggles,R802.70,
28982,NewHue (Plano),R584.60,
29401,Ultravision cast moulded bandage (16-18mm) plano,R383.30,
29402,Ultra for Astigmatism ,"R1,599.70",
29403,Ultra Mutifocal for Astigmatism ,"R2,111.50",
29404,Ultra ONE DAY,"R1,045.10",
29405,Ultra ONE DAY,"R2,932.70",
71EA005,SINGLE VISION GLASS PGX CORNING,"R1,241.30",
71EA015,SINGLE VISION GLASS ALL-CLIMATES,R617.90,
72EA005,SINGLE VISION GLASS PGX CORNING RX,"R1,807.70",
72EA015,SINGLE VISION GLASS ALL-CLIMATES,"R1,308.90",
74EA005,FLATOP BIFOCAL D28 GLASS PGX CORNING,"R3,167.00",
74EA015,FLATOP BIFOCAL D28 GLASS ALL-CLIMATES,"R1,421.50",
76EA002,EAGLE-LUX GLASS WHITE,"R2,628.20",
76EA005,EAGLE-LUX GLASS PGX CORNING,"R2,715.50",
77EA00B,SATIN COAT,"R2,618.10",
81AF001,AFRILENS SINGLE VISION WHITE UNCOATED ,R0.00,
81AF002,AFRILENS SINGLE VISION WHITE HMC ,R0.00,
81AF003,AFRILENS SINGLE VISION WHITE HMC 1.67,R665.30,
81AF004,AFRILENS SINGLE VISION TRANSITIONS GEN8,"R1,700.30",
81AF005,AFRILENS SINGLE VISION PHOTOCHROMIC HARD COAT ,R90.30,
81AF007,AFRILENS SINGLE VISION POLARIZED PLANO ,"R1,240.30",
81AF011,AFRILENS SINGLE VISION WHITE UC HI CYL ,R21.30,
81AF012,AFRILENS SINGLE VISION WHITE HMC HI CYL ,R205.30,
81AF013,AFRILENS SINGLE VISION WHITE HMC 1.74,"R2,620.30",
81AF014,AFRILENS SINGLE VISON ACCLIMATES ,"R1,125.30",
81AF015,AFRILENS SINGLE VISION PHOTOCHROMIC BLUE COAT ,R550.30,
81AF021,AFRILENS SINGLE VISION WHITE HARD COAT ,R0.00,
81AF042,AFRILENS SINGLE VISION WHITE BLUE COAT ,R205.30,
81AF052,AFRILENS SINGLE VISION WHITE HMC 1.60,R435.30,
81BH002,BH SV 1.56,,X
81BH003,BH SV 1.61,,X
81BH005,BH SV PHOTO X 1.56,,X
81BH012,BH SV 1.56 BLUE BLOCKER,,X
81BH013,BH SV 1.67,,X
81BH015,BH PHOTO X THIN 1.6,,X
81BH023,BH SV 1.74,,X
81BH033,BH SV 1.6 BLUE BLOCKER,,X
81BH043,BH SV 1.67 BLUE BLOCKER,,X
81BH053,BH SV 1.74 BLUE BLOCKER,,X
81CZ005,ZEISS Finished SV ClearView 1.6 PhotoFusion X Grey DuraVision Platinum UV,"R3,225.20",
81CZ061,ZEISS Finished SV ClearView 1.5 BlueGuard DuraVision Platinum UV,"R1,348.40",
81EA004,SV 1.5 TRANSITIONS GENS HC GREY/BROWN,"R2,842.10",S
81EA006,SV 1.61 TRANSITIONS GENS SATIN+ GREY/BROWN PREMIUM COAT,"R4,213.60",S
81EA014,SV 1.5 TRANSITIONS GENS SATIN+ GREY/BROWN PREMIUM COAT,"R3,091.60",S
81EA016,SV 1.67 TRANSITIONS GENS SATIN+ GREY/BROWN PREMIUM COAT,"R5,772.00",S
81EA025,SV 1.56 EAGLE-LITE ALL-CLIMATES GREY ULTRX X-HC,R411.00,S
81EA032,SINGLE VISION 1.56 CR39 WHITE HMC HIGH CYL EXTENDED RANGE,R366.00,X
81EA035,SV 1.56 EAGLE-LITE ALL-CLIMATES GRY/BRN HMC,R710.30,S
81EA041,SINGLE VISION 1.5 CR39 WHITE-HIGH CYL EXTENDED RANGE,R131.70,X
81EA042,SINGLE VISION 1.56 BLUMAX BLUE COAT,R619.50,X
81EA045,SV 1.56 EAGLE-LITE ALL-CLIMATES GREY BLUE CUT BLUE HMC,"R1,408.40",S
81EA051,SV 1.5 CR39 WHITE SATIN + PREMIUM COAT,R887.30,S
81EA053,SINGLE VISION 1.61 EAGLE LITE MR8 ULTA X-HARD COAT,R631.60,X
81EA063,SINGLE VISION 1.61 BLUMAX ASP SATIN +,"R1,525.20",X
81EA073,SINGLE VISION 1.67 BLUMAX ASP SHMC,"R1,730.40",X
81HL001,Hlm S/v,R242.10,
81HL002,Hlm S/v HMC,R311.10,
81HL005,Hlm S/v Photo Hard,R945.90,
81HL015,Hlm S/v Photo HMC,R508.90,
81HL021,Hlm S/v Arc SHMC,"R1,343.80",
81HL031,Hlm S/v SHMC Blue,"R1,539.30",
81HL041,Hlm S/v HMC Blue,R663.80,
81HY155,Hilux PNX 1.53 Sensity 2 HVLL UV Control Standard,"R3,075.70",
81HY165,Hilux 1.60 Eyas Sensity Original SHV Standard,"R2,611.10",
81UB061,Unbranded 1.50 Blue Filter,R797.40,
81UB102,Unbranded 1.56 Blue Filter,R797.40,
81UB112,Unbranded 1;6 Blue Filter,"R1,192.00",
81VE045,VUE 1.56 Veyzer Hard Range 1,,
81VE055,VUE 1.56 Veyzer Hard Range 2,,
81VE065,VUE 1.56 VXD VEYEZER XD HMC RANGE 2,,
82AF001,AFRILENS SINGLE VISION WHITE HARD HI CYL ,R0.00,
82AF007,AFRILENS SINGLE VISION POLARIZED SCRIPTED 1.5,"R1,623.90",
82AF008,AFRILENS SINGLE VISION POLARIZED SCRIPTED 1.6,"R2,198.90",
82AF009,AFRILENS SINGLE VISION POLARIZED SCRIPTED 1.67,"R2,543.90",
82AF012,AFRILENS SINGLE VISION WHITE BLUE COAT ,R0.00,
82AF023,AFRILENS SINGLE VISION RX 1.67 INDEX UNCOATED ,"R1,163.90",
82AF032,AFRILENS SINGLE VISION RX 1.6 INDEX UNCOATED ,R818.90,
82AF033,AFRILENS SINGLE VISION RX 1.74 INDEX UNCOATED ,"R1,508.90",
82BH002,BH SV 1.56,,X
82BH003,BH SV 1.61,,X
82BH007,BH SV POLARIZED 1.5,,X
82BH012,BH SV 1.56 BLUE BLOCKER,,X
82BH013,BH SV 1.67,,X
82BH023,BH SV 1.74,,X
82BH033,BH SV 1.6 BLUE BLOCKER,,X
82BH043,BH SV 1.67 BLUE BLOCKER,,X
82BH053,BH SV 1.74 BLUE BLOCKER,,X
82CB024,Petite 1.5 Sunspeed Rx,"R2,109.20",
82CB036,Petite 1.67 Sunspeed Rx,"R4,924.40",
82CZ262,ZEISS MyoKids Pro 1.6,"R1,989.60",
82CZ271,ZEISS MyoKids Pro 1.5,"R1,081.10",
82CZ272,ZEISS Single Vision MyoCare 1.59,"R1,720.50",
82CZ281,ZEISS MyoKids Pro Individual 1.5,"R1,773.40",
82CZ291,ZEISS MyoKids Pro Individual 1.6,"R3,208.60",
82CZ423,ZEISS MyoKids Pro 1.67,"R3,312.10",
82CZ433,ZEISS MyoKids Pro Individual 1.67,"R4,770.30",
82CZP66,ZEISS MyoKids Pro 1.67 Photofusion X Grey,"R6,755.20",
82CZP86,ZEISS MyoKids Pro Individual 1.67 PhotoFusion X Grey,"R7,318.70",
82CZS84,ZEISS MyoKids Pro 1.5 PhotoFusion X Grey,"R3,643.30",
82CZT04,ZEISS MyoKids Pro Individual 1.5 PhotoFusion X Grey,"R4,423.00",
82CZT75,ZEISS MyoKids Pro 1.6 Photofusion X Grey,"R4,678.30",
82CZT95,ZEISS MyoKids Pro Individual 1.6 PhotoFusion X Grey,"R5,418.90",
82EA004,SV 1.5 TRANSITIONS GENS Gr/Br/GN STYLES & EXTRActive,"R3,782.60",S
82EA005,SV RX 1.56 EAGLE-LITE ALL-CLIMATES Gr/Br,R875.30,S
82EA006,SV RX 1.6 SUNLITE BLUMAX Gr/Br,"R3,907.20",S
82EA007,SV RX 1.5 SUN-POLAR Gr/Br/GN,"R1,451.10",S
82EA008,SV RX 1.6 SUN-POLAR GR/Br,"R5,153.90",S
82EA009,SV RX 1.67 SUN-POLAR Gr/Br,"R7,647.40",S
82EA00A,SV RX 1.5TRANSITIONS DRIVEWEAR,"R9,517.50",S
82EA015,SV RX 1.56 SUNLITE BLUMAX Gr/Br,"R2,535.70",S
82EA016,SV RX 1.67 SUNLITE BLUMAX Gr/Br,"R4,530.50",S
82EA025,SV 1.6 TRANSITIONS GENS Gr/Br/GN STYLES & EXTRActive,"R6,400.70",S
82EA026,SV RX 1.74 SUNLITE BLUMAX Gr/Br,"R8,270.80",S
82EA036,SV 1.67 TRANSITIONS GENS Gr/Br/GN STYLES & EXTRActive,"R8,270.80",S
82EA046,SV 1.74 TRANSITIONS GENS Gr/Br,"R13,257.90",S
82HY196,Nulux Eynoa 1.67 Sensity Fast Uncoated,"R6,302.10",
82HY206,Hilux TF Eynoa 1.67 Sensity Fast Uncoated,"R5,386.70",
82HY216,Nulux TF Eynoa 1.67 Sensity Fast Uncoated,"R6,778.20",
82HY226,Nulux iDentity V+ Eynoa 1.67 Sensity Fast Uncoated,"R6,948.40",
82HY236,Nulux Sportive Eynoa 1.67 Sensity Fast Uncoated,"R7,684.40",
82HY254,Hilux 1.50 Sensity Fast Uncoated,"R2,320.80",
82HY264,Nulux 1.50 Sensity Fast Uncoated,"R3,174.10",
82HY274,Hilux TF 1.50 Sensity Fast Uncoated,"R3,176.40",
82HY284,Nulux TF 1.50 Sensity Fast Uncoated,"R3,346.60",
82HY294,Nulux iDentity V+ 1.50 Sensity Fast Uncoated,"R4,045.80",
82HY302,Nulux Sportive 1.60 Eyas 2.0 Uncoated,"R4,229.80",
82HY304,Nulux Sportive 1.50 Sensity Fast Uncoated,"R4,542.60",
82HY445,Hilux PNX 1.53 Sensity Fast Uncoated,"R3,783.60",
82HY455,Hilux 1.60 Eyas 2.0 Sensity Fast Uncoated,"R3,716.90",
82HY465,Nulux PNX 1.53 Sensity Fast Uncoated,"R4,163.10",
82HY475,Nulux 1.60 Eyas 2.0 Sensity Fast Uncoated,"R5,414.30",
82HY485,Hilux TF PNX 1.53 Sensity Fast Uncoated,"R4,190.70",
82HY495,Hilux TF 1.60 Eyas 2.0 Sensity Fast Uncoated,"R5,030.20",
82HY505,Nulux TF PNX 1.53 Sensity Fast Uncoated,"R4,239.00",
82HY515,Nulux TF 1.60 Eyas 2.0 Sensity Fast Uncoated,"R6,187.10",
82HY525,Nulux iDentity V+ 1.60 Eyas 2.0 Sensity Fast Uncoated,"R6,341.20",
82HY535,Nulux Sportive PNX 1.53 Sensity Fast Uncoated,"R5,552.30",
82HY545,Nulux Sportive 1.60 Eyas 2.0 Sensity Fast Uncoated,"R6,481.50",
82KD034,SV 1.50 Acclimates Rx,"R1,044.30",
82LS032,Damar Lab 1.56 Clear Surfaced UV420,,
82LS035,Damar Lab 1.56 Reactor Rapid Change Surfaced UV420,,
82LS042,Damar Lab 1.6 Surfaced UV420,,
82RP04A,RO XTRActive Transitions GR Pola S/V Surfaced Uncoated,"R3,904.40",
83AF001,AFRILENS ACCOMODATIVE SUPPORT WHITE,R109.50,
83AF005,AFRILENS ACCOMODATIVE SUPPORT PHOTOCHROMIC ,R590.80,
83AR018,VISTA Anti-fatigue Nupolar,"R1,069.10",
83CB004,Petite i-pro Relax digital sunspeed 1.5,"R3,071.90",
83CB006,Petite i-pro Relax Digital Sunspeed 1.61,"R3,633.10",
83CB016,Petite i-Pro Relax Digital Sunspeed 1.67,"R6,436.80",
83EA005,SV 1.56 NOVA EASY HD ACCOMMODATIVE ALL-CLIMATES Gr/Br,"R2,361.20",S
83EA006,SV 1.6 NOVA EASY HD ACCOMMODATIVE SUNLITE BLUMAX (UV420) Gr/Br,"R4,879.60",S
83EA015,SV 1.6 NOVA EASY HD ACCOMMODATIVE TRANSITIONS GENS Gr/Br/GN STYLES & EXTRActive,"R7,747.10",S
83EA016,SV 1.67 NOVA EASY HD ACCOMMODATIVE SUNLITE BLUMAX (UV420) Gr/Br,"R5,777.30",S
83EA023,SV 1.74 NOVA EASY HD ACCOMMODATIVE WHITE,"R6,425.50",S
83EA026,SV 1.74 NOVA EASY HD ACCOMMODATIVE SUNLITE BLUMAX (UV420) Gr/Br,"R10,764.30",S
83EA036,SV 1.67 NOVA EASY HD ACCOMMODATIVE TRANSITIONS GENS Gr/Br/GN STYLES & EXTRActive,"R9,417.70",S
83EA046,SV 1.74 NOVA EASY HD ACCOMMODATIVE TRANSITIONS GENS GR,"R15,152.80",S
83HY066,Sync III 1.67 Eynoa Sensity Fast Uncoated,"R5,820.40",
83HY084,Sync III 1.5 Sensity Fast Uncoated,"R2,591.20",
83HY125,Sync III 1.53 PNX Sensity Fast Uncoated,"R4,169.00",
83HY135,Sync III 1.60 Eyas 2.0 Sensity Fast Uncoated,"R4,366.80",
84AF001,AFRILENS BIFOCAL CLEAR UNCOATED D28,R0.00,
84AF002,AFRILENS BIFOCAL CLEAR UNCOATED 1.6 D28,R426.30,
84AF003,AFRILENS BIFOCAL CLEAR UNCOATED 1.67 D28,R736.80,
84AF004,AFRILENS BIFOCAL TRANSITIONS  D28,"R1,668.30",
84AF005,AFRILENS BIFOCAL PHOTOCHROMIC D28,R22.60,
84BH001,BH BIFOCAL WHITE,,X
84BH005,BH BIFOCAL PHOTOGREY,,X
84BH007,BH BIFOCAL POLARIZED,,X
84CB035,Petite Flat Top 28 Sunspeed 1.6,"R2,996.50",
84EA003,FLATTOP BIFOCAL CR39 WHITE 1.67 HRI D28,"R4,680.60",
84EA004,FLATTOP BIFOCAL TRANSITIONS GENS GREY D28 UNCOATED,"R4,693.00",S
84EA005,FLATTOP BIFOCAL CR39 ALL-CLIMATES D28,R853.00,
84EA007,FLATTOP BIFOCAL CR39 SUNPOLAR D28,"R2,885.20",
84EA012,FLATTOP BIFOCAL CR39 WHITE 1.6 HRI D28,"R2,561.00",
84EA013,FLATTOP BIFOCAL CR39 WHITE 1.74 HRI D28,"R6,924.70",
84EA021,FLATTOP BIFOCAL CR39 WHITE D35 UNCOATED,"R1,301.90",
84HL001,Hlm B/F,R360.70,
84HL005,Hlm B/f Photo,"R1,970.70",
85EC001,Office,R0.00,
85EC002,Office Bluecut,R322.10,
85EC003,Office 1.6,"R1,022.90",
85EC005,Office SmartShades,"R1,130.90",
85EC006,Office SmartShades 1.67,"R2,683.00",
85EC013,Office 1.67,"R1,389.60",
85EL123,WL NV Supreme Organic 1.67 Book / PC / Office,"R2,595.60",
85EL133,WL NV Supreme Organic 1.67 LF410 Book / PC / Office,"R2,963.60",
85EL192,WL NV Supreme Organic 1.60  Book / PC / Office,"R2,250.60",
85EL202,WL NV Supreme Organic 1.60 LF410 Book / PC / Office,"R2,524.30",
86AF001,AFRILENS MULTIFOCAL PREMIUM WHITE UNCOATED,R0.00,
86AF002,AFRILENS MULTIFOCAL PREMIUM WHITE 1.6,R688.90,
86AF003,AFRILENS MULTIFOCAL PREMIUM WHITE 1.67,"R1,061.50",
86AF004,AFRILENS MULTIFOCAL PREMIUM TRANSITIONS ,"R1,372.00",
86AF005,AFRILENS MULTIFOCAL PREMIUM PHOTOCHROMIC UNCOATED,R52.40,
86AF006,AFRILENS MULTIFOCAL PREMIUM PHOTOCHROMIC 1.67,"R2,458.80",
86AF013,AFRILENS MULTIFOCAL PREMIUM WHITE 1.74,"R1,527.30",
86AF015,AFRILENS MULTIFOCAL PREMIUM PHOTOCHROMIC 1.60,"R1,837.80",
86BH002,BH BESTVIEW PAL 1.56,,X
86BH003,BH BESTVIEW PAL 1.61,,X
86BH012,BH GREATVIEW PAL 1.56,,X
86BH013,BH GREATVIEW PAL 1.61,,X
86BH022,BH PERSONALVIEW PAL 1.56,,X
86BH023,BH PERSONALVIEW PAL 1.61,,X
86BH033,BH BESTVIEW PAL 1.67,,X
86BH043,BH GREATVIEW PAL 1.67,,X
86BH053,BH PERSONALVIEW PAL 1.67,,X
86BH063,BH BESTVIEW PAL 1.74,,X
86BH073,BH GREATVIEW PAL 1.74,,X
86BH083,BH PERSONALVIEW PAL 1.74,,X
86CB008,Petite Advanced Polarised 1.6,"R5,194.60",
86CB014,Petite Generic Sunspeed 1.5,"R1,397.30",
86CB024,Petite Advanced Sunspeed 1.5,"R2,788.80",
86CB035,Petite Advanced Sunspeed 1.6,"R3,653.60",
86CY355,CE Digivsion 1.59 Polycarb Photolens,"R3,188.40",S
86EA049,EAGLE LUX NOVA TRENDFREE 2 SUNPOLAR 1.67,"R8,662.40",
86EA059,EAGLE-LUX NOVA PAL 3 SUNPOLAR 1.67,"R12,776.70",
86EA061,EAGLE-LUX NOVA VISIO CR39 WHITE 1.5,R159.70,
86EA075,EAGLE-LUX NOVA VISIO ALL-CLIMATES GREY 1.56,"R1,481.10",
86EA095,EAGLE-LUX NOVA TRENDFREE 2 SUNLITE 1.56,"R2,877.60",
86EA105,EAGLE-LUX NOVA PAL 3 SUNLITE 1.56,"R4,348.70",
86EA166,EAGLE-LUX NOVA TRENDFREE 2 SUNLITE 1.74,"R9,360.60",
86EA176,NOVA TRENDFREE 2 TRANSITIONS GEN S 1.74 UNCOATED,"R14,646.80",
86EA186,EAGLE-LUX NOVA PAL 3 SUNLITE HRI 1.74,"R10,382.90",
86EA196,NOVA PLUS 3.0 TRANSITIONS GEN S 1.74 UNCOATED,"R15,544.50",
86EL187,WL PAL Ultimate Polarized 1.50 Grey / Brown,"R6,526.30",
86EL304,eLab FF Smart Dual Surface 1.50n Photo UC UV400,"R6,494.10",
86EL308,WL PAL Free Polarized 1.60 Grey / Brown,"R4,730.00",
86EL318,WL PAL Supreme Polarized 1.60 Grey / Brown,"R5,279.70",
86EL328,WL PAL Ultimate Polarized 1.60 Grey / Brown,"R6,461.90",
86EL376,WL PAL Supreme Organic 1.67 NV2 Grey / Brown,"R5,893.80",
86EL386,WL PAL Ultimate 1.67 NV2 Grey / Brown,"R7,687.80",
86EL411,WL PAL Free Organic 1.50,"R2,004.50",
86EL421,WL PAL Supreme Organic 1.5,"R2,236.80",
86EL431,WL PAL Ultimate Organic 1.5,"R3,621.40",
86EL553,WL PAL Supreme Organic 1.67,"R3,911.20",
86EL563,WL PAL Supreme Organic 1.67 LF410,"R5,141.70",
86EL573,WL PAL Ultimate 1.67,"R5,988.10",
86EL583,WL PAL Ultimate 1.67 LF410,"R6,519.40",
86EL593,WL PAL Ultimate 1.74,"R8,511.20",
86EL612,WL PAL Free Organic 1.60,"R3,246.50",
86EL622,WL PAL Free Organic 1.60 LF410,"R3,727.20",
86EL632,WL PAL Supreme Organic 1.60,"R3,218.90",
86EL642,WL PAL Supreme Organic 1.60 LF410,"R3,837.60",
86EL652,WL PAL Ultimate 1.6,"R4,299.90",
86EL662,WL PAL Ultimate 1.6 LF410,"R5,831.70",
86EL785,WL PAL Free Organic 1.54 NV2 Grey / Brown,"R3,727.20",
86EL795,WL PAL Free Organic 1.60 NV2 Grey / Brown / Green,"R4,621.90",
86EL805,WL PAL Supreme Organic 1.54 NV2 Grey / Brown,"R4,306.80",
86EL815,WL PAL Supreme Organic 1.60 NV2 Grey / Brown / Green,"R5,279.70",
86EL825,WL PAL Ultimate Organic 1.54 NV2 Grey / Brown,"R5,252.10",
86EL835,WL PAL Ultimate 1.6 NV2 Grey / Brown / Green,"R6,404.40",
86ESC82,Essifit 1.59 Airwear Clear (Regular / Short),"R1,378.90",
86FE017,Falcon Easy View DS 1.5 Polarized Uncoated,"R1,584.10",
86FE027,Falcon Ultra HD Digital 1.5 Polarized Uncoated,"R5,236.00",
86HY059,LifeStyle 4 Eynoa 1.67 Polarized Uncoated,"R8,722.80",
86HY069,LifeStyle 4 Individual Eynoa 1.67 Polarized Uncoated,"R9,527.80",
86HY077,LifeStyle 4 1.50 Polarized Uncoated,"R5,712.10",
86HY087,LifeStyle 4 Individual 1.50 Polarized Uncoated,"R6,294.00",
86HY118,Amplitude Plus 1.60 Eyas 2.0 Polarised Uncoated (Mini & Long),"R4,348.20",
86HY128,LifeStyle 4 PNX 1.53 Polarized Uncoated,"R6,565.40",
86HY138,LifeStyle 4 1.60 Eyas 2.0 Polarized Uncoated,"R6,979.40",
86HY148,LifeStyle 4 Individual PNX 1.53 Polarized Uncoated,"R7,211.70",
86HY158,LifeStyle 4 Individual 1.60 Eyas 2.0 Polarized Uncoated,"R7,513.00",
86HY313,LifeStyle 4 Eynoa 1.67 Uncoated,"R6,981.70",
86HY323,LifeStyle 4 Eyvia 1.74 Uncoated,"R10,498.40",
86HY333,LifeStyle 4 Individual Eynoa 1.67 Uncoated,"R7,499.20",
86HY343,LifeStyle 4 Individual Eyvia 1.74 Uncoated,"R10,921.60",
86HY376,Amplitude Plus Eynoa 1.67 Sensity Fast Uncoated (Mini & Long),"R4,612.70",
86HY386,Daynamic Eynoa 1.67 Sensity Fast Uncoated,"R6,310.10",
86HY396,Balansis Eynoa 1.67 Sensity Fast Uncoated,"R7,211.70",
86HY401,LifeStyle 4 1.50 Uncoated,"R3,971.00",
86HY406,LifeStyle 4 Eynoa 1.67 Sensity 2 Uncoated,"R9,244.90",
86HY411,LifeStyle 4 UV 1.50 Uncoated,"R4,072.20",
86HY416,LifeStyle 4 Eynoa 1.67 Sensity Dark Uncoated,"R9,244.90",
86HY421,LifeStyle 4 Individual 1.50 Uncoated,"R4,575.90",
86HY426,LifeStyle 4 Eynoa 1.67 Sensity Fast Uncoated,"R9,244.90",
86HY431,LifeStyle 4 Individual UV 1.50 Uncoated,"R4,677.10",
86HY436,LifeStyle 4 Individual Eynoa 1.67 Sensity 2 Uncoated,"R9,764.70",
86HY446,LifeStyle 4 Individual Eynoa 1.67 Sensity Dark Uncoated,"R9,764.70",
86HY456,LifeStyle 4 Individual Eynoa 1.67 Sensity Fast Uncoated,"R9,764.70",
86HY476,Hoyalux iD MySelf 1.67 Eynoa Sensity Fast Uncoated,"R10,606.50",
86HY534,Amplitude Plus 1.50 Sensity Fast Uncoated (Mini & Long),"R2,749.70",
