"GEMS TARIFF FOR SERVICES BY MEDICAL LABORATORY TECHNOLOGISTS
WITH EFFECT FROM 2026-01-01",,126 - Medical Technology,
Tariff Code,Tariff Description, 2026 Tariff Value,
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,
,Preamble,,
,"It is recommended that, when such benefits are granted, the following should be clearly specified in the scheme's rules.

- Services must only be on referral.",,
,General Rules,,
001,"Each practitioner must acquaint him-/herself with the provisions of the Medical Schemes Act, and the regulations promulgated under the Act and shall render a monthly account in respect of any service rendered. NB: Every account shall contain the following particulars :

The account or statement contemplated in section 59(1) of the Act must contain the following -
(a)	The surname and initials of the member;
(b)	the surname, first name and other initials, if any, of the patient;
(c)	the name of the scheme concerned;
(d)	the membership number of the member;
(e)	the practice code number, group practice number and individual provider registration number issued by the registering authorities for providers, if applicable, of the supplier of service and, in the case of a group practice, the name of the practitioner who provided the service;
(f)	the relevant diagnostic and such other item code numbers that relates to such relevant health service;
(g)	the date on which each relevant health service was rendered;
 (h)	the nature and cost of each relevant health service rendered, including the supply of medicine to the member concerned or to a dependant of that member; and the name, quantity and dosage of and net amount payable by the member in respect of, the medicine;",,
3998,Amino acids Quantitative (Post derivatisation HPLC),"R1,372.60",
3999,Albumin,R84.20,
4000,Alcohol,R217.50,
4001,Alkaline phosphatase,R91.10,
4002,Alkaline phosphatase-iso-enzymes,R205.80,
4003,Ammonia: Enzymatic,R135.50,
4004,Ammonia: Monitor,R79.20,
4005,Alpha-1-antitrypsin: Total,R126.40,
4006,Amylase,R91.10,
4007,"Arsenic in blood, hair or nails",R636.70,
4009,Bilirubin: Total,R83.90,
4010,Bilirubin: Conjugated,R63.70,
4014,Cadmium: Atomic absorption,R318.20,
4016,Calcium: Ionized,R118.40,
4017,Calcium: Spectrophotometric,R63.70,
4018,Calcium: Atomic absorption,R127.00,
4019,Carotene,R39.30,
4020,Carnitine (Total or free) in biological fluid: Each,R205.50,
4021,Carnitine (Total or free) in muscle: Each,R410.80,
4022,Acyl Carnitine,R410.80,
4023,Chloride,R45.70,
4025,CHOL/HDL/LDL/TRIG/TERS,R413.30,
4026,LDL cholesterol (chemical determination),R121.10,
4027,Cholesterol total,R93.70,
4028,HDL cholesterol,R121.10,
4029,Cholinesterase: Serum or erythrocyte: Each,R131.60,
4030,Cholinesterase phenotype (Dibucaine or fluoride each),R157.90,
4031,Total CO2,R91.10,
4032,Creatinine,R63.70,
4034,C1-Esterase Inhibitor,R144.10,
4035,CSF-ALBUMIN,R144.10,
4040,Homocysteine (random),R268.80,
4041,Homocysteine (after Methionine load),R318.00,
4042,D-Xylose absorption test: Two hours,R230.90,
4045,Fibrinogen: Quantitative,R63.50,
4049,Glucose tolerance test (2 specimens),R157.70,
4050,Glucose strip-test with photometric reading,R31.80,
4051,Galactose,R197.50,
4052,Glucose tolerance test (3 specimens),R231.20,
4053,Glucose tolerance test (4 specimens),R305.00,
4057,Glucose: Quantitative,R63.70,
4061,Glucose tolerance test (5 specimens),R378.80,
4062,Galactose-1-phosphate uridyl transferase,R281.50,
4063,Fructosamine,R126.40,
4064,HbA1C,R250.30,
4066,"Immunofixation: Total protein, IgG, IgA, IgM, Kappa, Lambda",R823.70,
4067,Lithium: Flame ionisation,R91.10,
4068,Lithium: Atomic absorption,R131.60,
4071,Iron,R118.40,
4073,Iron-binding capacity,R134.40,
4076,Blood Gases: Panel 2: Panel 1(4075) & Ancillary Tests,R291.90,
4078,"Oximetry analysis: MetHb, COHb, O2Hb, RHb, SulfHb",R118.40,
4079,Ketones in plasma: Qualitative,R39.30,
4081,Drug level-biological fluid: Quantitative,R190.10,
4083,Lysosomal enzyme assay,R642.30,
4085,Lipase,R91.10,
4091,Lipoprotein electrophoresis,R157.90,
4093,Osmolality: Serum or urine,R118.40,
4094,Magnesium: Spectrophotometric,R63.70,
4095,Magnesium: Atomic absorption,R127.00,
4096,Mercury: Atomic absorption,R318.20,
4098,Copper: Atomic absorption,R318.20,
4105,Protein electrophoresis,R157.90,
4106,"IgG sub-class 1, 2, 3 or 4: Per sub-class",R351.40,
4109,Phosphate,R63.70,
4113,Potassium,R63.70,
4114,Sodium,R63.70,
4117,Protein: Total,R54.60,
4121,"pH, pCO2 or pO2: Each",R118.40,
4123,Pyruvic acid,R79.20,
4125,Salicylates,R79.20,
4127,Caeruloplasmin,R79.20,
4128,Phenylalanine: Quantitative,R197.50,
4130,Aspartate aminotransferase (AST),R94.70,
4131,Alanine aminotransferase (ALT),R94.70,
4132,Creatine kinase (CK),R94.70,
4133,Lactate dehidrogenase (LD),R94.70,
4134,Gamma glutamyl transferase (GGT),R94.70,
4135,Aldolase,R94.70,
4136,Angiotensin converting enzyme (ACE),R157.90,
4137,Lactate dehydrogenase isoenzyme,R190.10,
4138,CK-MB: Immunoinhibition/precipitation,R190.10,
4139,Adenosine deaminase,R94.70,
4143,Serum/plasma enzymes,R94.70,
4144,Transferrin,R205.80,
4146,Lead: Atomic absorption,R263.40,
4147,Triglyceride,R139.50,
4149,Red cell magnesium,R205.80,
4151,Urea,R63.70,
4152,CK-MB: Mass determination: Quantitative (Automated),R217.50,
