"GEMS TARIFF FOR RADIOLOGISTS AND NUCLEAR MEDICINE
WITH EFFECT FROM 2026-01-01",,025 - Nuclear Medicine,038 - Radiology
,"Code 53100 (stress) is a stand alone study and may not be added to 53110, 53120 (lumbar spine), 53160 (myelography) and 53170 (discography).
Code 53140 (tomography) may be combined with 53110 or 53120 (spine).
Codes 53160 (myelography) and 53170 (discography) include fluoroscopy and introduction of contrast (00140 may not be added).
Code 53300 (CT) limited study – limited to a single lumbar vertebral body.
Code 53310 (CT) regional study - 2 vertebral bodies and intervertebral disc spaces.
Code 53320 (CT) complete study - an extensive study of the lumbar spine.
Code 53340 (CT myelography) - post myelographic study and includes all disc levels, fluoroscopy and introduction of contrast (00140 may not be added).",,
53100,X-ray of the lumbar spine – stress study only,,R731.90
53110,"X-ray of the lumbar spine, one or two views",,R629.50
53120,"X-ray of the lumbar spine, more than two views",,R788.60
53130,"X-ray of the lumbar spine, more that two views including stress views",,"R1,329.70"
53140,X-ray tomography lumbar spine,,R760.50
53160,X-ray myelography of the lumbar spine,,"R4,233.10"
53170,X-ray discography lumbar spine per level,,"R4,450.90"
53300,CT of the lumbar spine limited study,,"R1,679.80"
53310,CT of the lumbar spine – regional study,,"R2,459.30"
53320,Ct of the lumbar spine complete study,,"R6,655.90"
53330,CT of the lumbar spine pre and post contrast,,"R10,406.10"
53340,CT myelography of the lumbar spine,,"R8,684.10"
53350,CT myelography of the lumbar spine following myelogram,,"R4,148.10"
53400,"MR of the lumbar spine, limited study",,"R8,169.30"
53410,MR of the lumbar spine,,"R11,373.30"
53420,MR of the lumbar spine pre and post contrast,,"R18,263.50"
53900,Nuclear medicine study – Bone regional lumbar,"R3,801.70",
53910,Nuclear medicine study – Bone tomography regional lumbar,"R2,371.00",
53920,Nuclear medicine study – with flow,"R1,064.50",
,Sacrum,,
,"Code 54120 (tomography) may be combined with 54100 (sacrum) or 54110 (SI joints).
Code 54300 (CT) limited study - limited to single sacral vertebral body. 
Code 54310 (CT) complete study - an extensive study of the sacral spine.",,
54100,X-ray of the sacrum and coccyx,,R633.00
54110,X-ray of the sacro-iliac joints,,R725.00
54120,X-ray tomography – sacrum and/or coccyx,,R760.50
54300,CT of the sacrum – limited study,,"R1,343.80"
54310,CT of the sacrum – complete study – uncontrasted,,"R4,528.60"
54320,CT of the sacrum with contrast,,"R8,298.40"
54330,CT of the sacrum pre and post contrast,,"R9,366.50"
54400,MR of the sacrum,,"R11,493.80"
54410,MR of the sacrum pre and post contrast,,"R17,866.40"
,Pelvis,,
,"Codes 55110 (tomography) and 55100 (pelvis) may be combined.
Code 55300 (CT) limited study – limited to a small region of interest of the pelvis eg. ascetabular roof or pubic ramus.",,
55100,X-ray of the pelvis,,R647.30
55110,X-ray tomography – pelvis,,R760.50
55300,CT of the bony pelvis limited,,"R1,679.80"
55310,CT of the bony pelvis complete uncontrasted,,"R4,528.60"
55320,CT of the bony pelvis complete 3D recon,,"R6,625.60"
55330,CT of the bony pelvis with contrast,,"R8,298.40"
55340,CT of the bony pelvis – pre and post contrast,,"R9,366.50"
55400,MR of the bony pelvis,,"R11,493.80"
55410,MR of the bony pelvis pre and post contrast,,"R18,078.60"
55900,Nuclear medicine study – Bone regional pelvis,"R3,801.70",
55910,Nuclear medicine study – Bone tomography regional pelvis,"R2,371.00",
55920,Nuclear medicine study – with flow,"R1,064.50",
,Hips,,
,"Code 56130 (tomography) may be combined with 56100 or 56110 or 56120 (hip).
Code 56140 (stress) may be combined with 56100 or 56110 or 56120 (hip). 
Code 56150 (arthrography) includes fluoroscopy and introduction of contrast (00140 may not be added). 
Code 56160 (introduction of contrast into hip joint) to be used with 56310 (CT hip) and 56410 (MR hip) and includes fluoroscopy. The combination of 56150 and 56310 and 56410 is not supported except in exceptional circumstances with motivation. 
Code 56300 (CT) study limited to small region of interest eg part of femur head.",,
56100,X-ray of the left hip,,R561.90
56110,X-ray of the right hip,,R561.90
56120,X-ray pelvis and hips,,"R1,064.50"
56130,X-ray tomography – hip,,R760.50
56140,X-ray of the hip/s – stress study,,R774.40
56150,X-ray arthrography of the hip joint including introduction contrast,,"R2,785.20"
56160,X-ray guidance and introduction of contrast into hip joint only,,"R1,310.10"
56200,Ultrasound of the hip joints,,"R1,149.20"
56300,CT of hip – limited,,"R1,679.80"
56310,CT of hip – complete,,"R4,839.90"
56320,CT of hip – complete with 3D recon,,"R7,034.20"
56330,CT of hip with contrast,,"R7,649.30"
56340,CT of hip pre and post contrast,,"R8,466.60"
56400,"MR of the hip joint/s, limited study",,"R7,939.30"
56410,MR of the hip joint/s,,"R11,334.40"
56420,"MR of the hip joint/s, pre and post contrast",,"R17,972.60"
56900,Nuclear medicine study – Bone regional pelvis,"R3,801.70",
56910,Nuclear medicine study – Bone limited static plus flow,"R4,868.20",
56920,Nuclear medicine study – Bone tomography regional,"R2,371.00",
,Upper limbs,,
,General,,
,"Code 60100 (stress only) is a stand alone study and may not be combined with other codes.
Code 60110 (tomography) may be combined with any one of the defined regional x-ray studies of the upper limb. Motivation may be required for more than one regional tomographic study per visit.
Code 60200 (U/S) may only be used once per visit.
Code 60300 (CT) limited study – limited to a small region of interest eg. part of humeral head. 
Code 60400 (MR limited) may only be used once per visit.",,
60100,X-ray upper limbs - any region - stress studies only,,R799.30
60110,X-ray upper limbs - any region – tomography,,R760.50
60200,Ultrasound upper limb – soft tissue - any region,,"R1,305.10"
60210,"Ultrasound of the peripheral arterial system of the left arm including B mode, pulse and colour doppler",,"R2,412.10"
60220,"Ultrasound of the peripheral arterial system of the right arm including B mode, pulse and colour doppler",,"R2,412.10"
60230,Ultrasound peripheral venous system upper limbs including pulse and colour doppler for deep vein thrombosis,,"R2,217.30"
60240,Ultrasound peripheral venous system upper limbs including pulse and colour doppler,,"R3,052.10"
60300,CT of the upper limbs limited study,,"R1,679.80"
60310,CT angiography of the upper limb,,"R13,841.60"
60400,"MR of the upper limbs limited study, any region",,"R7,921.60"
60410,MR angiography of the upper limb,,"R13,201.10"
60500,"Arteriogram of subclavian, upper limb arteries alone, unilateral",,"R8,075.30"
60510,"Arteriogram of subclavian, upper limb arteries alone, bilateral",,"R14,617.80"
60520,"Arteriogram of aortic arch, subclavian, upper limb, unilateral",,"R10,034.90"
60530,"Arteriogram of aortic arch, subclavian, upper limb, bilateral",,"R15,580.00"
60540,"Venography, antegrade of upper limb veins, unilateral",,"R4,618.40"
60550,"Venography, antegrade of upper limb veins, bilateral",,"R8,740.60"
60560,"Venography, retrograde of upper limb veins, unilateral",,"R5,482.90"
60570,"Venography, retrograde of upper limb veins, bilateral",,"R9,691.60"
60580,"Venography, shuntogram, dialysis access shunt",,"R4,206.70"
60900,Nuclear medicine study – Venogram upper limb,"R6,563.60",
,Shoulder,,
,"Code 61160 (arthrography) includes fluoroscopy and introduction of contrast (00140 may not be added).
Code 61170 (introduction of contrast into the shoulder joint) may be combined with 61300 and 61305 (CT), or 61400 and 61405 (MR). The combination of 61160 (arthrography) and 61300 and 61305 (CT) or 61400 and 61405 (MR) is not supported except in exceptional circumstances with motivation.",,
61100,X-ray of the left clavicle,,R538.00
61105,X-ray of the right clavicle,,R538.00
61110,X-ray of the left scapula,,R538.00
61115,X-ray of the right scapula,,R538.00
61120,X-ray of the left acromio-clavicular joint,,R555.10
61125,X-ray of the right acromio-clavicular joint,,R555.10
61128,X-ray of acromio-clavicular joints plus stress studies bilateral,,"R1,357.70"
61130,X-ray of the left shoulder,,R615.20
61135,X-ray of the right shoulder,,R615.20
61140,X-ray of the left shoulder plus subacromial impingement views,,"R1,046.90"
61145,X-ray of the right shoulder plus subacromial impingement views,,"R1,046.90"
61150,X-ray of the left subacromial impingement views only,,R572.90
61155,X-ray of the right subacromial impingement views only,,R572.90
61160,X-ray arthrography shoulder joint including introduction of contrast,,"R2,799.00"
61170,X-ray guidance and introduction of contrast into shoulder joint only,,"R1,310.10"
61200,Ultrasound of the left shoulder joint,,"R1,149.20"
61210,Ultrasound of the right shoulder joint,,"R1,149.20"
61300,CT of the left shoulder joint – uncontrasted,,"R4,307.50"
61305,CT of the right shoulder joint – uncontrasted,,"R4,307.50"
61310,CT of the left shoulder – complete with 3D recon,,"R6,659.20"
61315,CT of the right shoulder – complete with 3D recon,,"R6,659.20"
61320,CT of the left shoulder joint - pre and post contrast,,"R8,599.00"
61325,CT of the right shoulder joint - pre and post contrast,,"R8,599.00"
61400,MR of the left shoulder,,"R11,430.20"
61405,MR of the right shoulder,,"R11,430.20"
61410,MR of the left shoulder pre and post contrast,,"R17,866.40"
61415,MR of the right shoulder pre and post contrast,,"R17,866.40"
,Humerus,,
62100,X-ray of the left humerus,,R519.80
62105,X-ray of the right humerus,,R519.80
62300,CT of the left upper arm,,"R4,307.50"
62305,CT of the right upper arm,,"R4,307.50"
62310,CT of the left upper arm contrasted,,"R7,067.40"
62315,CT of the right upper arm contrasted,,"R7,067.40"
62320,CT of the left upper arm pre and post contrast,,"R8,590.00"
62325,CT of the right upper arm pre and post contrast,,"R8,590.00"
62400,MR of the left upper arm,,"R11,352.20"
62405,MR of the right upper arm,,"R11,352.20"
62410,MR of the left upper arm pre and post contrast,,"R18,043.10"
62415,MR of the right upper arm pre and post contrast,,"R18,043.10"
62900,Nuclear medicine study – Bone limited/regional static,"R3,801.70",
62905,Nuclear medicine study – Bone limited static plus flow,"R4,868.20",
62910,Nuclear medicine study – Bone tomography regional,"R2,371.00",
,Elbow,,
,"Code 63120 (arthrography) includes fluoroscopy and introduction of contrast (00140 may not be added).
Code 63130 (introduction of contrast) may be combined with 63300 and 63305 (CT) or 63400 and 63405 (MR). The combination of 63120 (arthrography) and 63300 and 63305 or 63400 and 63405 (MR) is not supported except in exceptional circumstances with motivation.",,
63100,X-ray of the left elbow,,R555.10
63105,X-ray of the right elbow,,R555.10
63110,X-ray of the left elbow with stress,,R767.40
63115,X-ray of the right elbow with stress,,R767.40
63120,X-ray arthrography elbow joint including introduction of contrast,,"R2,809.60"
63130,X-ray guidance and introduction  of contrast into elbow joint only,,"R1,310.10"
63200,Ultrasound of the left elbow joint,,"R1,149.20"
63205,Ultrasound of the right elbow joint,,"R1,149.20"
63300,CT of the left elbow,,"R4,307.50"
63305,CT of the right elbow,,"R4,307.50"
63310,CT of the left elbow – complete with 3D recon,,"R6,659.20"
63315,CT of the right elbow – complete with 3D recon,,"R6,659.20"
63320,CT of the left elbow contrasted,,"R7,067.40"
63325,CT of the right elbow contrasted,,"R7,067.40"
63330,CT of the left elbow pre and post contrast,,"R8,599.00"
63335,CT of the right elbow pre and post contrast,,"R8,599.00"
63400,MR of the left elbow,,"R11,430.20"
63405,MR of the right elbow,,"R11,430.20"
63410,MR of the left elbow pre and post contrast,,"R17,866.40"
63415,MR of the right elbow pre and post contrast,,"R17,866.40"
63905,Nuclear medicine study – Bone limited/regional static,"R3,801.70",
63910,Nuclear medicine study – Bone limited static plus flow,"R4,868.20",
63915,Nuclear medicine study – Bone tomography regional,"R2,371.00",
,Forearm,,
64100,X-ray of the left forearm,,R519.80
64105,X-ray of the right forearm,,R519.80
64110,X-ray peripheral bone densitometry,,R346.70
64300,CT of the left forearm,,"R4,307.50"
64305,CT of the right forearm,,"R4,307.50"
64310,CT of the left forearm contrasted,,"R7,067.40"
64315,CT of the right forearm contrasted,,"R7,067.40"
64320,CT of the left forearm pre and post contrast,,"R8,590.00"
64325,CT of the right forearm pre and post contrast,,"R8,590.00"
64400,MR of the left forearm,,"R11,352.20"
64405,MR of the right forearm,,"R11,352.20"
64410,MR of the left forearm pre and post contrast,,"R17,335.50"
64415,MR of the right forearm pre and post contrast,,"R17,335.50"
64900,Nuclear medicine study – Bone limited/regional static,"R3,801.70",
64905,Nuclear medicine study – Bone limited static plus flow,"R4,868.20",
64910,Nuclear medicine study – Bone tomography regional,"R2,371.00",
,Hand and Wrist,,
,"Code 65120 (finger) may not be combined with 65100 or 65105 (hands).
Codes 65130 and 65135 (wrists) may be combined with 65140 or 65145 (scaphoid) respectively if requested and additional views done.
Code 65160 (arthrography) includes fluoroscopy and the introduction of contrast (00140 may not be added). 
Code 65170 (contrast) may be combined with 65300 and 65305 (CT) or 65400 and 65405 (MR). The combination of 65160 (arthrography) and 65300 and 65305 or 65400 and 65405 is not supported except in exceptional circumstances with motivation.",,
65100,X-ray of the left hand,,R544.50
65105,X-ray of the right hand,,R544.50
65110,X-ray of the left hand – bone age,,R544.50
65120,X-ray of a finger,,R472.30
65130,X-ray of the left wrist,,R561.90
65135,X-ray of the right wrist,,R561.90
65140,X-ray of the left scaphoid,,R583.50
65145,X-ray of the right scaphoid,,R583.50
65150,"X-ray of the left wrist, scaphoid and stress views",,"R1,337.00"
65155,"X-ray of the right wrist, scaphoid and stress views",,"R1,337.00"
65160,X-ray arthrography wrist joint including introduction of contrast,,"R2,816.80"
65170,X-ray guidance and introduction of contrast into wrist joint only,,"R1,310.10"
65200,Ultrasound of the left wrist,,"R1,149.20"
65210,Ultrasound of the right wrist,,"R1,149.20"
65300,CT of the left wrist and hand,,"R4,307.50"
65305,CT of the right wrist and hand,,"R4,307.50"
65310,CT of the left wrist and hand - complete with 3D recon,,"R6,659.20"
65315,CT of the right wrist and hand - complete with 3D recon,,"R6,659.20"
65320,CT of the left wrist and hand contrasted,,"R7,067.40"
65325,CT of the right wrist and hand contrasted,,"R7,067.40"
65330,CT of the left wrist and hand pre and post contrast,,"R8,599.00"
65335,CT of the right wrist and hand pre and post contrast,,"R8,599.00"
65400,MR of the left wrist and hand,,"R11,430.20"
65405,MR of the right wrist and hand,,"R11,430.20"
65410,MR of the left wrist and hand pre and post contrast,,"R17,866.40"
65415,MR of the right wrist and hand pre and post contrast,,"R17,866.40"
65900,Nuclear Medicine study – bone limited/regional static,"R3,801.70",
65905,Nuclear Medicine study – bone limited static plus flow,"R4,868.20",
65910,Nuclear Medicine study – bone tomography regional,"R2,371.00",
,Soft Tissue,,
69900,"Nuclear medicine study – Tumour localisation planar, static","R3,667.40",
69905,"Nuclear medicine study – Tumour localisation planar, static, multiple studies","R6,218.80",
69910,"Nuclear medicine study – Tumour localisation planar, static and SPECT","R6,038.60",
69915,"Nuclear medicine study – Tumour localisation planar, static, multiple studies and SPECT","R8,409.30",
69920,"Nuclear medicine study – Infection localisation planar, static","R3,189.90",
69925,"Nuclear medicine study – Infection localisation planar, static, multiple studies","R5,561.20",
69930,"Nuclear medicine study – Infection localisation planar, static and SPECT","R5,561.20",
69935,"Nuclear medicine study – Infection localisation planar, static, multiple studies and SPECT","R7,932.20",
69940,Nuclear medicine study – Regional lymph node mapping dynamic,"R1,064.50",
69945,"Nuclear medicine study – Regional lymph node mapping, static, planar","R4,261.50",
69950,"Nuclear medicine study – Regional lymph node mapping, static, planar, multiple","R6,632.60",
69955,Nuclear medicine study – Regional lymph node mapping SPECT,"R2,371.00",
69960,Nuclear medicine study – Lymph node localisation with gamma probe,"R2,371.00",
,Lower Limbs,,
,General,,
,"Code 70100 (stress) is a stand alone study and may not be combined with other codes.
Code 70110 (tomography) may be combined with any one of the defined regional x-ray studies of the lower limb. Motivation may be required for more than one regional tomographic study per visit.
Code 70200 (U/S) may only be billed once per visit.
Code 70300 ((CT) limited study – limited to a small region of interest eg part of condyle of the knee.  
Codes 70310 and 70320 (CT angiography) may not be combined. 
Code 70400 (MR limited) may only be used once per visit.
Code 70410 and 70420 (MR angiography) may not be combined.",,
70100,X-ray lower limbs - any region- stress studies only,,R799.30
70110,X-ray lower limbs - any region-tomography,,R760.50
70120,X-ray of the lower limbs full length study,,"R1,142.20"
70200,Ultrasound lower limb – soft tissue - any region,,"R1,305.10"
70210,"Ultrasound of the peripheral arterial system of the left leg including B mode, pulse and colour Doppler",,"R2,412.10"
70220,"Ultrasound of the peripheral arterial system of the right leg including B mode, pulse and colour Doppler",,"R2,412.10"
70230,Ultrasound peripheral venous system lower limbs including pulse and colour doppler for deep vein thrombosis,,"R2,412.10"
70240,"Ultrasound peripheral venous system lower limbs including pulse and colour doppler in erect and supine position including all compression and reflux manoeuvres, deep and superficial systems bilaterally",,"R3,476.10"
70300,CT of the lower limbs limited study,,"R1,679.80"
70310,CT angiography of the lower limb,,"R14,045.20"
70320,CT angiography abdominal aorta and outflow lower limbs,,"R17,388.80"
70400,MR of the lower limbs limited study,,"R8,204.80"
70410,MR angiography of the lower limb,,"R13,555.10"
70420,MR angiography of the abdominal aorta and lower limbs,,"R21,016.90"
70500,Angiography of pelvic and lower limb arteries unilateral,,"R7,177.30"
70505,Angiography of pelvic and lower limb arteries bilateral,,"R13,424.10"
70510,"Angiography of abdominal aorta, pelvic and lower limb vessels unilateral",,"R10,826.90"
70515,"Angiography of abdominal aorta, pelvic and lower limb vessels bilateral",,"R15,146.50"
70520,Angiography translumbar aorta with full peripheral study,,"R8,077.20"
70530,"Venography, antegrade of lower limb veins, unilateral",,"R4,502.10"
70535,"Venography, antegrade of lower limb veins, bilateral",,"R8,740.60"
70540,"Venography, retrograde of lower limb veins, unilateral",,"R5,511.60"
70545,"Venography, retrograde of lower limb veins, bilateral",,"R10,041.70"
70560,"Lymphangiography, lower limb, unilateral",,"R9,024.90"
70565,"Lymphangiography, lower limb, bilateral",,"R14,848.00"
70900,Nuclear medicine study – Venogram lower limb,"R6,563.60",
,Femur,,
71100,X-ray of the left femur,,R519.80
71105,X-ray of the right femur,,R519.80
71300,CT of the left femur,,"R4,335.70"
71305,CT of the right femur,,"R4,335.70"
71310,CT of the left upper leg contrasted,,"R7,396.40"
71315,CT of the right upper leg contrasted,,"R7,396.40"
71320,CT of the left upper leg pre and post contrast,,"R8,790.00"
71325,CT of the right upper leg pre and post contrast,,"R8,790.00"
71400,MR of the left upper leg,,"R11,458.20"
71405,MR of the right upper leg,,"R11,458.20"
71410,MR of the left upper leg pre and post contrast,,"R18,043.10"
71415,MR of the right upper leg pre and post contrast,,"R18,043.10"
71900,Nuclear Medicine study – bone limited/regional static,"R3,801.70",
71905,Nuclear Medicine study – Bone limited static plus flow,"R4,868.20",
71910,Nuclear Medicine study – Bone tomography regional,"R2,371.00",
,Knee,,
,"Codes 72140  and 72145 (patella) may not be added to 72100, 72105, 72110, 72115, 72130, 72135 (knee views)
Code 72160 (arthrography) includes fluoroscopy and introduction of contrast (00140 may not be added). 
Code 72170 (introduction of contrast) may be combined with 72300 and 72305 (CT) or 72400 and 72405 (MR). The combination of 72160 (arthrography) and 72300 and 72305 (CT) or 72400 and 72405 (MR) is not supported except in exceptional circumstances with motivation.",,
72100,X-ray of the left knee one or two views,,R489.80
72105,X-ray of the right knee one or two views,,R489.80
72110,"X-ray of the left knee, more than two views",,R587.10
72115,"X-ray of the right knee, more than two views",,R587.10
72120,X-ray of the left knee including patella,,R816.70
72125,X-ray of the right knee including patella,,R816.70
72130,X-ray of the left knee with stress views,,"R1,029.10"
72135,X-ray of the right knee with stress views,,"R1,029.10"
72140,X-ray of left patella,,R489.80
72145,X-ray of right patella,,R489.80
72150,X-ray both knees standing – single view,,R495.00
72160,X-ray arthrography knee joint including introduction of contrast,,"R2,795.60"
72170,X-ray guidance and introduction of contrast into knee joint only,,"R1,310.10"
72200,Ultrasound of the left knee joint,,"R1,149.20"
72205,Ultrasound of the right knee joint,,"R1,149.20"
72300,CT of the left knee,,"R4,335.70"
72305,CT of the right knee,,"R4,335.70"
72310,CT of the left knee complete study with 3D reconstructions,,"R6,353.20"
72315,CT of the right knee complete study with 3D reconstructions,,"R6,353.20"
72320,CT of the left knee contrasted,,"R7,396.40"
72325,CT of the right knee contrasted,,"R7,396.40"
72330,CT of the left knee pre and post contrast,,"R8,798.70"
72335,CT of the right knee pre and post contrast,,"R8,798.70"
72400,MR of the left knee,,"R11,334.40"
72405,MR of the right knee,,"R11,334.40"
72410,MR of the left knee pre and post contrast,,"R17,831.00"
72415,MR of the right knee pre and post contrast,,"R17,831.00"
72900,Nuclear Medicine study – Bone limited/regional static,"R3,801.70",
72905,Nuclear Medicine study – Bone limited static plus flow,"R4,868.20",
72910,Nuclear Medicine study – Bone tomography regional,"R2,371.00",
,Lower Leg,,
73100,X-ray of the left lower leg,,R519.80
73105,X-ray of the right lower leg,,R519.80
73300,CT of the left lower leg,,"R4,335.70"
73305,CT of the right lower leg,,"R4,335.70"
73310,CT of the left lower leg contrasted,,"R7,396.40"
73315,CT of the right lower leg contrasted,,"R7,396.40"
73320,CT of the left lower leg pre and post contrast,,"R8,790.00"
73325,CT of the right lower leg pre and post contrast,,"R8,790.00"
73400,MR of the left lower leg,,"R11,352.20"
73405,MR of the right lower leg,,"R11,352.20"
73410,MR of the left lower leg pre and post contrast,,"R18,043.10"
73415,MR of the right lower leg pre and post contrast,,"R18,043.10"
73900,Nuclear Medicine study – bone limited/regional static,"R3,801.70",
73905,Nuclear Medicine study – bone limited static plus flow,"R4,868.20",
73910,Nuclear Medicine study – bone tomography regional,"R2,371.00",
,Ankle and Foot,,
,"Code 74145 (toe) may not be combined with 74120 or 74125 (foot).
Code 71450 (sesamoid bones) may be combined with 74120 or 74125 (foot) if requested. 
Codes 74120 and 74125 (foot) may only be combined with 74130 and 74135 (calcaneus) if specifically requested. 
Code 74160 (arthrography) includes fluoroscopy and introduction of contrast (00140 may not be added).
Code 74170 (introduction of contrast) may be combined with 74300 and 74305 (CT) or 74400 and 74405 (MR). The combination of 74160 (arthrography) and 74300 and 74305 (CT) or 74400 and 74405 (MR) are not supported except in exceptional circumstances with motivation.",,
74100,X-ray of the left ankle,,R587.10
74105,X-ray of the right ankle,,R587.10
74110,X-ray of the left ankle with stress views,,R799.30
74115,X-ray of the right ankle with stress views,,R799.30
74120,X-ray of the left foot,,R495.00
74125,X-ray of the right foot,,R495.00
74130,X-ray of the left calcaneus,,R484.40
74135,X-ray of the right calcaneus,,R484.40
74140,X-ray of both feet – standing – single view,,R495.00
74145,X-ray of a toe,,R472.30
74150,X-ray of the sesamoid bones one or both sides,,R495.00
74160,X-ray arthrography ankle joint including introduction of contrast,,"R2,813.10"
74170,X-ray guidance and introduction of contrast into ankle joint,,"R1,310.10"
74210,Ultrasound of the left ankle,,"R1,149.20"
74215,Ultrasound of the right ankle,,"R1,149.20"
74220,Ultrasound of the left foot,,"R1,149.20"
74225,Ultrasound of the right foot,,"R1,149.20"
74290,Ultrasound bone densitometry,,R360.90
74300,CT of the left ankle/foot,,"R4,335.70"
74305,CT of the right ankle/foot,,"R4,335.70"
74310,CT of the left ankle/foot – complete with 3D recon,,"R6,685.50"
74315,CT of the right ankle/foot – complete with 3D recon,,"R6,685.50"
74320,CT of the left ankle/foot contrasted,,"R7,396.40"
74325,CT of the right ankle/foot contrasted,,"R7,396.40"
74330,CT of the left ankle/foot pre and post contrast,,"R8,790.00"
74335,CT of the right ankle/foot pre and post contrast,,"R8,790.00"
74400,MR of the left ankle,,"R11,334.40"
74405,MR of the right ankle,,"R11,334.40"
74410,MR of the left ankle pre and post contrast,,"R17,795.60"
74415,MR of the right ankle pre and post contrast,,"R17,795.60"
74420,MR of the left foot,,"R11,352.20"
74425,MR of the right foot,,"R11,352.20"
74430,MR of the left foot pre and post contrast,,"R18,043.10"
74435,MR of the right foot pre and post contrast,,"R18,043.10"
74900,Nuclear Medicine study – Bone limited/regional static,"R3,801.70",
74905,Nuclear Medicine study – Bone limited static plus flow,"R4,868.20",
74910,Nuclear Medicine study – Bone tomography regional,"R2,371.00",
,Soft Tissue,,
79900,"Nuclear Medicine study – Tumour localisation planar, static","R3,667.40",
79905,"Nuclear Medicine study – Tumour localisation planar, static, multiple studies","R6,218.80",
79910,"Nuclear Medicine study – Tumour localisation planar, static and SPECT","R6,038.60",
79915,"Nuclear Medicine study – Tumour localisation planar, static, multiple studies & SPECT","R8,409.30",
79920,"Nuclear Medicine study – Infection localisation planar, static","R3,259.00",
79925,"Nuclear Medicine study – Infection localisation planar, static, multiple studies","R5,629.70",
79930,"Nuclear Medicine study – Infection localisation planar, static and SPECT","R5,629.70",
79935,"Nuclear Medicine study – Infection localisation planar, static, multiple studies and SPECT","R8,001.10",
79940,Nuclear Medicine study – Regional lymph node mapping dynamic,"R1,064.50",
79945,"Nuclear Medicine study – Regional lymph node mapping, static, planar","R4,261.50",
79950,"Nuclear Medicine study – Regional lymph node mapping, static, planar, multiple studies","R6,632.60",
79955,Nuclear Medicine study – Regional lymph node mapping and SPECT,"R2,371.00",
79960,Nuclear Medicine study – Lymph node localisation with gamma probe,"R2,371.00",
,Intervention,,
,General,,
,"Codes 80600, 80605, 80610, 80620, 80630, 81660, 81680, 82600, 84660, 85640, 85645, 86610, 86615, 86620, 86630, (aspiration / biopsy / ablations etc) may be combined with the relevant guidance codes (fluoroscopy, ultrasound, CT, MR) as previously described. The machine codes 00510, 00520, 00530, 00540, 00550, 00560 may not be combined with these codes.
If ultrasound guidance (00230) is used for a procedure which also attracts one of the machine codes (00510, 00520, 00530, 00540, 00550, 00560), it may not be billed for separately.  
Codes 80640, 80645, 87682, 87683 include fluoroscopy. Machine fees may not be added. 
All other interventional procedures are complete unique procedures describing a whole comprehensive procedure and combinations of different codes will only be supported when motivated.",,
80600,"Percutaneous abscess, cyst drainage, any region",,"R1,656.90"
80605,"Fine needle aspiration biopsy, any region",,R746.00
80610,"Cutting needle, trochar biopsy, any region",,"R1,124.50"
80620,Tumour/cyst ablation chemical,,"R4,486.00"
80630,"Tumour ablation radio frequency, per lesion",,"R3,750.40"
80640,Insertion of CVP line in radiology suite,,"R1,589.60"
80645,Peripheral central venous line insertion,,"R2,143.30"
80650,"Infiltration of a peripheral joint, any region",,"R1,131.70"
,"May be combined with relevant guidance (fluoroscopy, ultrasound, CT and MR). May not be combined with machine codes 00510, 00520, 00530, 00540, 00550, 00560 or 86610 (facet joint or SI joint) or arthrogram codes.",,
,Neuro intervention,,
81600,"Intracranial aneurysm occlusion, direct",,"R37,931.90"
81605,Intracranial arteriovenous shunt occlusion,,"R45,058.10"
81610,Dural sinus arteriovenous shunt occlusion,,"R46,739.40"
81615,Extracranial arteriovenous shunt occlusion,,"R27,810.70"
81620,Extracranial arterial embolisation (head and neck),,"R28,843.30"
81625,Caroticocavernous fistula occlusion,,"R34,000.90"
81630,"Intracranial angioplasty for stenosis, vasospasm",,"R22,442.50"
81632,Intracranial stent placement (including PTA),,"R23,644.70"
81635,Temporary balloon occlusion test,,"R14,750.70"
,"Code 81635 does not include the relevant preceding diagnostic study and may be combined with codes 10500, 10510, 10530, 10540, 10550.",,
81640,Permanent carotid or vertebral artery occlusion (including occlusion  test),,"R31,506.20"
81645,Intracranial aneurysm occlusion with balloon remodelling,,"R38,255.60"
81650,Intracranial aneurysm occlusion with stent assistance,,"R40,748.70"
81655,"Intracranial thrombolysis, catheter directed",,"R10,422.10"
,Code 81655 may be combined with any of the other neuro interventional codes 81600 to 81650,,
81660,"Nerve block, head and neck, per level",,"R1,354.50"
81665,"Neurolysis, head and neck, per level",,"R3,561.10"
81670,"Nerve block, head and neck, radio frequency, per level",,"R3,366.80"
81680,"Nerve block, coeliac plexus or other regions, per level",,"R1,641.40"
,Thorax,,
82600,Chest drain insertion,,"R1,559.50"
82605,"Trachial, bronchial stent insertion",,"R5,368.50"
,Gastrointestinal,,
83600,Oesophageal stent insertion,,"R5,520.10"
83605,GIT balloon dilation,,"R4,307.50"
83610,GIT stent insertion (non-oesophageal),,"R5,661.80"
83615,"Percutaneous gastrostomy, jejunostomy",,"R4,484.20"
,Hepatobiliary,,
84600,"Percutaneous biliary drainage, external",,"R6,008.40"
84605,Percutaneous external/internal biliary drainage,,"R6,579.50"
84610,Permanent biliary stent insertion,,"R9,056.60"
84615,Drainage tube replacement,,"R3,575.60"
84620,Percutaneous bile duct stone or foreign object removal,,"R8,837.60"
84625,Percutaneous gall bladder drainage,,"R5,230.30"
