"GEMS PROFESSIONAL FEES TARIFFS FOR ORTHOTICS & PROSTHETICS
WITH EFFECT FROM 2026-01-01",,,"
 087 - Orthotics & Prosthetics
"
Tariff code,Description,2026 Tariff Value,Flag
"Disclaimer: 
1. All Orthotic and Prosthetic tariff codes, NAPPI codes, and tariff rates are subject to Scheme rules, benefits, protocols, policies, and member/beneficiary available limits and sub-limits.
2. Pre- authorization and provider referral will be subject to a threshold, and this may include other codes as per the flag column where the Scheme deems necessary.",,,
10391,Lumbo sacral Orthosis moulded to patient model -bivalve,,Authorisation and referral required  
10394,Thoraco Lumbar Sacral Orthosis moulded to patient model  - Boston brace corrective including follow up,,Authorisation and referral required  
10397,Thoraco Lumbar Sacral Orthosis moulded to patient model,,Authorisation and referral required  
10400,Thoraco Lumbar Sacral Orthosis moulded to patient model  - bivalve,,Authorisation and referral required  
10406,Taylors extension custom made,,Authorisation and referral required  
10409,Arm abduction splint - custom made,,Authorisation and referral required  
10412,Elbow orthosis- moulded to patient model ,,Authorisation and referral required  
10415,Elbow orthosis- moulded to patient model with hinges,,Authorisation and referral required  
10418,Fracture brace - Humerus moulded to patient model,,Authorisation and referral required  
10421,"Fracture brace - Radius, ulna moulded to patient model",,Authorisation and referral required  
10424,Hand orthosis - custom made dynamic,,Authorisation and referral required  
10427,"Hand orthosis -resting/immobilizing, moulded to patient ",,Authorisation and referral required  
10430,"Hand orthosis - resting/immobilizing, moulded to patient model",,Authorisation and referral required  
10433,Wrist-hand orthosis - custom made dynamic,,Authorisation and referral required  
10436,Wrist-hand orthosis - moulded to patient ,,Authorisation and referral required  
10439,Wrist-hand orthosis - moulded to patient model,,Authorisation and referral required  
10442,Wrist-hand orthosis - moulded silicone,,Authorisation and referral required  
10445,Wheelchair insert - custom moulded ,,Authorisation and referral required  
10463,Prosthetic fitting - silicone breast ,,Authorisation and referral required  
10465,Prosthetic fitting – facial prosthesis,,Authorisation and referral required  
10469,Prosthetic fitting - toe disarticulation,,Authorisation and referral required  
10472,Prosthetic fitting - Ray amputation,,Authorisation and referral required  
10475,Prosthetic fitting - trans-metatarsal,,Authorisation and referral required  
10478,Prosthetic fitting - tarso-metatarsal ,,Authorisation and referral required  
10481,Prosthetic fitting - partial foot - silicone,,Authorisation and referral required  
10487,Prosthetic fitting - Chopart ,,Authorisation and referral required  
10490,Prosthetic fitting - O'Conners extension,,Authorisation and referral required  
10493,Prosthetic fitting - ankle disarticulation,,Authorisation and referral required  
10496,Prosthetic fitting - transtibial exoskeletal (TT),,Authorisation and referral required  
10499,Prosthetic fitting - refit transtibial exoskeletal (TT),,Authorisation and referral required  
10502,Prosthetic fitting - transtibial endoskeletal (TT),,Authorisation and referral required  
10505,Prosthetic fitting - refit transtibial endoskeletal (TT),,Authorisation and referral required  
10506,Addition to prosthetic fitting - transtibial supra-condular fitting,,Authorisation and referral required  
10507,Addition to prosthetic fitting - transtibial Total Surface Bearing fitting,,Authorisation and referral required  
10508,Addition to prosthetic fitting - transtibial Total Contact fitting,,Authorisation and referral required  
10511,Prosthetic fitting - knee disarticulation exoskeletal ,,Authorisation and referral required  
10514,Prosthetic fitting - knee disarticulation  refit  exoskeletal ,,Authorisation and referral required  
10517,Prosthetic fitting - knee disarticulation endoskeletal  ,,Authorisation and referral required  
10520,Prosthetic fitting - knee disarticulation  refit  endoskeletal ,,Authorisation and referral required  
10523,Prosthetic fitting - transfemoral  exoskeletal  ,,Authorisation and referral required  
10529,Prosthetic fitting - transfemoral - refit  exoskeletal,,Authorisation and referral required  
10526,Prosthetic fitting - transfemoral endoskeletal ,,Authorisation and referral required  
10532,Prosthetic fitting - transfemoral - refit endoskeletal  ,,Authorisation and referral required  
10533,Addition to prosthetic fitting - TF/KD suction socket ,,Authorisation and referral required  
10534,Addition to prosthetic fitting - TF/KD TSB socket ,,Authorisation and referral required  
10535,Prosthetic fitting - HD endoskeletal,,Authorisation and referral required  
10538,Prosthetic fitting - refit HD endoskeletal ,,Authorisation and referral required  
